Category,Subcategory,Date,Approval Authority Level,Notes,Amount
Cost of Goods Sold,,2021-01-01,3,Part determine room always could before pay.,5.6
R&D,,2021-01-01,3,Important try grow laugh owner until.,9.36
Marketing,,2021-01-01,3,Born institution value PM cultural eye.,7.9
Admin Expenses,,2021-01-01,3,Medical school television.,11.33
Employee Compensation,Taxes,2021-01-01,1,Suddenly perhaps employee edge all help cut.,1.36
Cost of Goods Sold,,2021-01-02,2,Scientist build law there.,11.4
R&D,,2021-01-02,2,Federal husband in fear reality.,7.75
Marketing,,2021-01-02,3,Want some institution important.,6.03
Admin Expenses,,2021-01-02,3,Face top must yeah cause practice tonight.,1.09
Employee Compensation,Benefits,2021-01-02,2,Range management role gas although walk.,1.33
Cost of Goods Sold,,2021-01-03,1,Skill like to usually direction resource.,11.9
R&D,,2021-01-03,2,Decade without it later age.,7.91
Marketing,,2021-01-03,3,Sign international because you.,10.42
Admin Expenses,,2021-01-03,2,Appear treatment that growth describe action responsibility.,5.87
Employee Compensation,Base Salary,2021-01-03,2,Film onto step miss entire adult myself.,1.18
Cost of Goods Sold,,2021-01-04,3,Research what name impact yet.,8.47
R&D,,2021-01-04,2,Trial sense whole tax.,2.65
Marketing,,2021-01-04,3,Than beat whether difference weight.,10.08
Admin Expenses,,2021-01-04,1,Situation growth majority focus modern.,3.83
Employee Compensation,Bonuses,2021-01-04,1,None action moment.,1.75
Cost of Goods Sold,,2021-01-05,3,Hotel require within mind policy their shake.,11.04
R&D,,2021-01-05,3,Fly line consider him notice.,6.49
Marketing,,2021-01-05,1,South early fund everybody draw speech least to.,4.54
Admin Expenses,,2021-01-05,3,Could off show check want performance business.,5.36
Employee Compensation,Bonuses,2021-01-05,1,Town live administration.,1.85
Cost of Goods Sold,,2021-01-06,3,Green state gas have.,9.72
R&D,,2021-01-06,3,None role throw air law newspaper pull.,3.51
Marketing,,2021-01-06,2,Camera behind stuff short from.,10.98
Admin Expenses,,2021-01-06,1,Knowledge baby yourself they.,9.78
Employee Compensation,Taxes,2021-01-06,2,Woman response like surface.,1.65
Cost of Goods Sold,,2021-01-07,2,Maintain interest own of according foreign keep operation.,1.31
R&D,,2021-01-07,1,Song must while certain source here.,9.61
Marketing,,2021-01-07,2,Old success assume worry industry trade.,9.07
Admin Expenses,,2021-01-07,3,Long chance by city.,9.66
Employee Compensation,Benefits,2021-01-07,1,Trip peace exist pattern south.,1.76
Cost of Goods Sold,,2021-01-08,2,Space structure cup travel indicate pattern movement.,10.97
R&D,,2021-01-08,1,Day small data police fly half my writer.,2.73
Marketing,,2021-01-08,3,Guess conference focus computer.,10.94
Admin Expenses,,2021-01-08,2,Who fire minute fall final.,2.34
Employee Compensation,Taxes,2021-01-08,3,Real bank small treatment three.,1.2
Cost of Goods Sold,,2021-01-09,3,Cut relate nation.,8.71
R&D,,2021-01-09,3,School like might whatever.,7.97
Marketing,,2021-01-09,1,Quite arm form least later.,10.88
Admin Expenses,,2021-01-09,1,Community meet whatever baby lot.,4.39
